"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact184","stoolneg",1,0,0.657926428851507,0.342073571148493,"Ogvctiter2_new_titers"
"contact184","stoolneg",1,0,0.605850500853637,0.394149499146364,"vibogaw"
"contact185","stoolneg",0,1,0.493504698427648,0.506495301572352,"vibogaw"
"contact185","stoolneg",0,1,0.364396692334154,0.635603307665846,"Ogvctiter2_new_titers"
"contact186","stoolneg",0,1,0.495060892568904,0.504939107431096,"vibogaw"
"contact186","stoolneg",0,0,0.549076203199965,0.450923796800035,"Ogvctiter2_new_titers"
"contact187","stoolneg",0,1,0.210055975818128,0.789944024181872,"Ogvctiter2_new_titers"
"contact187","stoolneg",0,1,0.300757104247662,0.699242895752338,"vibogaw"
"contact188","stoolneg",0,1,0.410133059368393,0.589866940631607,"Ogvctiter2_new_titers"
"contact188","stoolneg",0,1,0.395639006177861,0.604360993822138,"vibogaw"
"contact189","stoolneg",1,1,0.370208548297248,0.629791451702752,"vibogaw"
"contact189","stoolneg",1,0,0.513076381904131,0.486923618095869,"Ogvctiter2_new_titers"
"contact190","stoolneg",1,1,0.331490264959498,0.668509735040501,"vibogaw"
"contact190","stoolneg",1,1,0.483713818091954,0.516286181908046,"Ogvctiter2_new_titers"
"contact191","stoolneg",1,1,0.384722542142241,0.615277457857759,"vibogaw"
"contact191","stoolneg",1,1,0.436274246810122,0.563725753189878,"Ogvctiter2_new_titers"
"contact192","stoolneg",1,0,0.528568813560881,0.471431186439119,"vibogaw"
"contact192","stoolneg",1,1,0.497638267610444,0.502361732389556,"Ogvctiter2_new_titers"
"contact193","stoolneg",1,0,0.668430058782808,0.331569941217192,"Ogvctiter2_new_titers"
"contact193","stoolneg",1,0,0.591213466551509,0.40878653344849,"vibogaw"
"contact194","stoolneg",1,1,0.197025512997494,0.802974487002506,"Ogvctiter2_new_titers"
"contact194","stoolneg",1,1,0.420523346326017,0.579476653673983,"vibogaw"
"contact18","stoolneg",1,1,0.226742737495563,0.773257262504437,"Ogvctiter2_new_titers"
"contact18","stoolneg",1,1,0.109085743569296,0.890914256430704,"vibogaw"
"contact195","stoolneg",1,1,0.207011567783781,0.792988432216219,"Ogvctiter2_new_titers"
"contact195","stoolneg",1,1,0.207391237572198,0.792608762427802,"vibogaw"
